Area,Location,No. of Bedrooms,Resale
1100,Bandlaguda Jagir,2,1
1100,Krishna Reddy Pet,2,0
1025,Krishna Reddy Pet,2,0
1080,Beeramguda,2,0
1100,Krishna Reddy Pet,2,0
1100,Krishna Reddy Pet,2,0
1025,Krishna Reddy Pet,2,0
682,Uppal,1,0
1245,Tarnaka,2,0
1500,Kondapur,3,1
900,Nallakunta,2,1
1320,Zamistanpur,3,1
1530,Zamistanpur,3,1
1190,Kukatpally,2,0
1695,Kukatpally,3,0
1200,Kondapur,2,1
1080,Beeramguda,2,0
1080,Beeramguda,2,0
1080,Beeramguda,2,0
1100,Krishna Reddy Pet,2,0
1035,Krishna Reddy Pet,2,0
1025,Krishna Reddy Pet,2,0
1490,Narsingi,3,0
1539,Neknampur,3,1
1641,Puppalaguda,2,0
1640,Puppalaguda,2,0
1402,Puppalaguda,1,0
1401,Puppalaguda,1,0
1925,Miyapur,3,0
1050,Gajularamaram,2,0
1555,Gajularamaram,3,0
1008,Bachupally,2,0
1080,Beeramguda,2,0
1080,Beeramguda,2,0
1230,Kukatpally,2,0
1050,Gajularamaram,2,0
1925,Miyapur,3,0
1525,Kondapur,3,0
1523,Cherlapalli,2,1
1200,Sainikpuri,3,0
3233,Hitech City,4,1
1350,Manikonda,3,0
1188,Sanath Nagar,2,1
1199,Tellapur,2,0
1538,Gachibowli,3,0
1730,Kukatpally,3,0
1080,Beeramguda,2,0
1080,Beeramguda,2,0
1045,Krishna Reddy Pet,2,0
1035,Krishna Reddy Pet,2,0
1025,Krishna Reddy Pet,2,0
1525,Kondapur,2,0
1080,Beeramguda,2,0
1115,Miyapur,2,0
1090,Kukatpally,2,0
3233,Hitech City,4,1
1080,Beeramguda,2,0
1568,Darga Khaliz Khan,3,0
1568,Appa Junction,3,0
1568,Appa Junction,3,0
1794,Appa Junction,3,0
1794,Appa Junction,3,0
1350,Manikonda,3,0
1525,Kondapur,3,0
1530,Manikonda,2,1
1953,Gachibowli,2,0
3434,Gachibowli,4,0
1580,Puppalaguda,3,1
1815,Kondapur,3,0
1935,Aminpur,3,0
1905,Aminpur,3,0
1695,Moosapet,2,0
1090,Moosapet,1,0
1555,Gajularamaram,2,0
1265,Aminpur,2,0
1490,Narsingi,3,0
1115,Miyapur,2,0
1555,Gajularamaram,3,0
1390,Appa Junction,2,0
1799,Appa Junction,3,0
1799,Appa Junction,3,0
1799,Appa Junction,3,0
1638,Appa Junction,3,0
1638,Appa Junction,3,0
1638,Darga Khaliz Khan,3,0
1794,Appa Junction,3,0
1230,Kukatpally,2,0
1200,Chintalmet,2,1
1200,Attapur,3,1
2000,Puppalaguda,3,1
1170,Rhoda Mistri Nagar,2,1
682,Uppal,1,0
1245,Tarnaka,2,0
1530,Zamistanpur,3,1
1568,Darga Khaliz Khan,3,0
1390,Appa Junction,2,0
1282,Appa Junction,2,0
1282,Darga Khaliz Khan,2,0
1282,Appa Junction,2,0
1390,Appa Junction,2,0
1282,Darga Khaliz Khan,2,0
1282,Darga Khaliz Khan,2,0
1282,Appa Junction,2,0
1214,Appa Junction,2,0
1390,Appa Junction,2,0
1392,Darga Khaliz Khan,2,0
1392,Appa Junction,2,0
1390,Appa Junction,2,0
1282,Darga Khaliz Khan,2,0
1020,Saroornagar,2,1
905,LB Nagar,2,0
1730,Kukatpally,3,0
1925,Miyapur,3,0
1925,Miyapur,3,0
1925,Miyapur,3,0
1265,Miyapur,2,0
1465,Gajularamaram,3,0
1050,Gajularamaram,2,0
1430,Appa Junction,2,0
1430,Appa Junction,2,0
1430,Appa Junction,2,0
1430,Appa Junction,2,0
1385,Appa Junction,2,0
1525,Kondapur,3,0
1799,Appa Junction,3,0
1799,Appa Junction,3,0
1799,Appa Junction,3,0
1638,Appa Junction,3,0
1638,Appa Junction,3,0
1638,Darga Khaliz Khan,3,0
1794,Appa Junction,3,0
1568,Darga Khaliz Khan,3,0
1568,Appa Junction,3,0
1568,Appa Junction,3,0
1794,Appa Junction,3,0
1100,Manikonda,2,1
3266,East Marredpally,3,0
1200,Manikonda,2,1
1555,Gajularamaram,3,0
1620,Bollaram,3,0
1125,Mallampet,1,0
1100,Mallampet,1,0
1050,Gajularamaram,2,0
1080,Beeramguda,2,0
1090,Kukatpally,2,0
1380,Manikonda,3,0
1510,Begumpet,3,0
1652,Kukatpally,3,0
3147,Hitech City,4,0
3090,Hitech City,4,0
3044,Hitech City,4,0
2051,Hitech City,3,0
3498,Hitech City,4,0
3101,Hitech City,4,0
3049,Hitech City,4,0
1738,Hitech City,3,0
1355,Hitech City,2,0
1334,Hitech City,2,0
1346,Hitech City,2,0
1327,Hitech City,2,0
1652,Kukatpally,3,0
1473,Kondapur,2,0
2607,Kondapur,3,0
2800,Kondapur,3,0
2192,Kondapur,3,0
2815,Kondapur,3,0
2452,Kondapur,3,0
2191,Kondapur,3,0
2813,Kondapur,3,0
1290,Kondapur,2,0
1300,Kondapur,2,0
1368,Kondapur,2,0
1550,Hitex Road,3,0
1550,Manikonda,3,0
2049,Hitech City,4,0
3494,Hitech City,4,0
1336,Hitech City,2,0
1850,Kondapur,3,0
1500,Kondapur,2,0
1620,Puppalaguda,3,0
1200,Begumpet,2,1
2700,Banjara Hills,3,1
3600,Kondapur,4,1
1530,Kondapur,3,0
1265,Sanath Nagar,2,0
1260,Nallagandla Gachibowli,2,0
1695,Nallagandla Gachibowli,3,0
1860,Nallagandla Gachibowli,3,0
1520,Balanagar,3,0
1655,Balanagar,3,0
1665,Balanagar,3,0
1755,Balanagar,3,0
1765,Balanagar,3,0
1940,Balanagar,3,0
1260,Nallagandla Gachibowli,2,0
1695,Nallagandla Gachibowli,3,0
1860,Nallagandla Gachibowli,3,0
1313,Manikonda,2,0
1256,Manikonda,2,0
1150,Manikonda,2,0
1495,Sanath Nagar,3,0
1500,Sanath Nagar,3,0
1685,Sanath Nagar,3,0
1895,Sanath Nagar,3,0
1780,Sanath Nagar,3,0
1785,Sanath Nagar,3,0
1265,Nallagandla Gachibowli,2,0
1270,Nallagandla Gachibowli,2,0
1511,Nallagandla Gachibowli,2,0
1270,Nallagandla Gachibowli,3,0
1665,Nallagandla Gachibowli,3,0
1265,Nallagandla Gachibowli,2,0
1430,Balanagar,3,0
1610,Balanagar,3,0
1320,Balanagar,3,0
1435,Balanagar,3,0
1510,Balanagar,3,0
1270,Nallagandla Gachibowli,2,0
1511,Nallagandla Gachibowli,2,0
1270,Nallagandla Gachibowli,3,0
1665,Nallagandla Gachibowli,3,0
1280,Manikonda,2,0
1278,Manikonda,2,0
1230,Manikonda,2,0
1503,Manikonda,3,0
1585,Manikonda,3,0
1189,Manikonda,2,0
1209,Manikonda,2,0
1279,Manikonda,2,0
1311,Manikonda,2,0
1405,Manikonda,3,0
1495,Manikonda,3,0
1953,Manikonda,3,0
1627,Manikonda,3,0
1778,Manikonda,3,0
1970,Manikonda,3,0
1900,Manikonda,3,0
1971,Manikonda,3,0
1846,Manikonda,3,0
1804,Manikonda,3,0
1550,Manikonda,3,0
1559,Manikonda,3,0
1629,Manikonda,3,0
1752,Manikonda,3,0
1808,Manikonda,3,0
1986,Manikonda,3,0
1605,Manikonda,3,0
1715,Manikonda,3,0
1826,Manikonda,3,0
1995,Manikonda,3,0
1996,Manikonda,3,0
1655,Narsingi,3,0
1020,Attapur,2,0
1160,ECIL,2,0
5200,Boiguda,3,0
2250,Manikonda,3,0
1160,ECIL Main Road,2,0
1990,Shaikpet,3,1
1585,ECIL,3,0
1165,ECIL,2,0
550,Moula Ali,1,0
550,ECIL Cross Road,1,0
1260,Nizampet,2,0
1105,Nizampet,2,0
1105,Nizampet,2,0
2080,Shaikpet,3,1
1235,ECIL Main Road,2,0
2260,Hitech City,3,0
2015,Hitech City,3,0
2015,Hitech City,3,0
1700,Narsingi,3,0
1265,Sanath Nagar,2,0
4650,Manikonda,4,1
1742,Gachibowli,3,1
2300,Rajbhavan Road Somajiguda,3,1
1110,Beeramguda,2,0
1110,Beeramguda,2,0
1050,Ramachandra Puram,2,0
1050,Ramachandra Puram,2,0
1505,Vanasthalipuram,3,0
2026,TellapurOsman Nagar Road,3,0
1640,Mansoorabad,3,0
1650,Serilingampally,3,0
1880,TellapurOsman Nagar Road,3,0
1216,Kukatpally,2,0
2026,Tellapur,3,0
1585,ECIL,3,0
2015,Hitech City,3,0
2500,Hitech City,3,0
2771,Bandlaguda Jagir,4,0
1895,Sanath Nagar,3,0
1500,Sanath Nagar,3,0
2595,Madhapur,4,1
2250,Kondapur,3,1
2060,Nanakramguda,3,1
1880,Kondapur,3,1
1620,Gajularamaram,3,0
1620,Gajularamaram,3,0
2250,Kondapur,3,1
2060,Nanakramguda,3,1
1390,Kokapet,3,0
1255,Bandlaguda Jagir,2,0
2285,Bandlaguda Jagir,3,0
1993,Gachibowli,3,1
2282,Bandlaguda Jagir,3,0
1384,Narsingi,3,0
1880,TellapurOsman Nagar Road,3,0
1874,Tellapur,3,0
1165,ECIL Cross Road,2,0
2000,Manikonda,3,0
1820,ECIL Cross Road,3,0
4160,Shaikpet,4,0
1020,Boduppal,2,1
1430,ECIL Main Road,3,0
1360,Kukatpally,2,0
1125,KRCR Colony Road,2,0
1430,ECIL,3,0
3044,Hitech City,4,0
3101,Hitech City,4,0
3147,Hitech City,4,0
3090,Hitech City,4,0
1139,Pragati Nagar,2,0
1560,LB Nagar,3,0
1880,TellapurOsman Nagar Road,3,0
1687,Tellapur,3,0
770,Padmarao Nagar,2,1
1257,Manikonda,2,1
2225,Narsingi,3,0
2170,Narsingi,3,0
1425,Narsingi,2,0
2025,Narsingi,3,0
1410,Gandipet,2,0
2160,Gandipet,3,0
1905,Gandipet,3,0
2665,Gandipet,3,0
2400,Gandipet,3,0
1395,Gandipet,2,0
1945,Kokapet,3,0
1945,Kokapet,3,0
1945,Kokapet,3,0
1680,Kokapet,3,0
1680,Kokapet,3,0
1270,Kokapet,2,0
1270,Kokapet,2,0
1270,Kokapet,2,0
1480,Kokapet,3,0
3000,Sainikpuri,4,1
1225,Nizampet,2,0
2026,Tellapur,3,0
1525,Bandlaguda Jagir,3,0
1265,LB Nagar,2,0
1640,Kondapur,3,1
1360,Kukatpally,2,0
1560,LB Nagar,3,0
2026,Tellapur,3,0
1125,KRCR Colony Road,2,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
950,Paramount Colony Toli Chowki,2,1
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1820,ECIL,3,0
1515,Pragathi Nagar Kukatpally,3,0
2026,Tellapur,3,0
1366,Kukatpally,2,0
1146,Nizampet,2,0
1441,Kukatpally,2,0
1360,Kukatpally,2,0
3090,Hitech City,4,0
1000,BK Guda Internal Road,2,1
2026,Tellapur,3,0
2026,TellapurOsman Nagar Road,3,0
1880,Tellapur,3,0
2026,TellapurOsman Nagar Road,3,0
1820,ECIL,3,0
1125,muthangi,2,1
1950,Attapur,3,0
1951,Attapur,3,0
1951,Attapur,3,0
1441,Kukatpally,2,0
1700,Narsingi,3,0
1700,Narsingi,3,0
1700,Narsingi,3,0
1700,Narsingi,3,0
1279,Kukatpally,2,0
1570,Kondapur,3,0
1215,Pragati Nagar,2,0
1050,Pragathi Nagar,2,1
1260,Gachibowli,3,1
1515,Pragathi Nagar Kukatpally,3,0
1300,Yapral,3,0
1700,Narsingi,3,0
3090,Hitech City,4,0
1274,Kukatpally,2,0
1274,Kukatpally,2,0
1400,Kokapet,3,0
1621,Narayanguda,3,1
1800,Kokapet,3,0
1200,Nizampet,2,0
1400,Kollur,3,0
1200,Nizampet,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1128,Pragathi Nagar,3,0
1150,Amberpet,2,0
2026,TellapurOsman Nagar Road,3,0
1880,TellapurOsman Nagar Road,3,0
1880,Tellapur,3,0
1350,Old Bowenpally,3,1
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
3090,Hitech City,4,0
3090,Hitech City,4,0
3090,Hitech City,4,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1235,Moula Ali,2,0
1515,Pragathi Nagar Kukatpally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1700,Alapathi Nagar,3,1
960,Arvind Nagar Colony,3,1
1155,Bachupally Road,2,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1175,Bachupally Road,2,0
1650,Serilingampally,3,0
1175,Bachupally Road,2,0
1370,Kondapur,2,0
1216,Kukatpally,2,0
1366,Kukatpally,2,0
1216,Kukatpally,2,0
1155,Bachupally Road,2,0
2026,Tellapur,3,0
1570,Kondapur,3,0
1950,Attapur,3,0
1170,Matrusri Nagar,2,0
1515,Pragathi Nagar Kukatpally,3,0
1471,Attapur,2,0
1470,Attapur,2,0
1470,Attapur,2,0
1955,Attapur,3,0
1000,Nizampet,2,1
1515,Pragathi Nagar Road,3,0
1515,Pragathi Nagar Road,3,0
1274,Kukatpally,2,0
2865,Madhapur,4,1
1090,Kukatpally,2,0
2026,Tellapur,3,0
1515,Pragathi Nagar Kukatpally,3,0
950,Padma Colony,2,1
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1880,TellapurOsman Nagar Road,3,0
2220,Nanakramguda,3,0
1600,Kokapet,3,0
1201,Nizampet,2,0
1150,Nizampet,2,1
1155,Bachupally Road,2,0
1050,Gajularamaram,2,0
1555,Gajularamaram,3,0
2026,TellapurOsman Nagar Road,3,0
1880,TellapurOsman Nagar Road,3,0
1155,Bachupally Road,2,0
2380,Hitech City,3,0
1402,Happy Homes Colony,3,1
1515,Pragathi Nagar Kukatpally,3,0
1120,Pragathi Nagar,3,0
1279,Kukatpally,2,0
1274,Kukatpally,2,0
1155,Bachupally Road,2,0
1650,Serilingampally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1650,Serilingampally,3,0
1687,Tellapur,3,0
800,Uppal,2,1
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1441,Kukatpally,2,0
1100,Yapral,2,0
2150,Tellapur,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Road,3,0
1515,Pragathi Nagar Kukatpally,3,0
1155,Bachupally Road,2,0
600,Old Nallakunta,1,1
1650,Serilingampally,3,0
1880,Kondapur,3,0
1360,Kukatpally,2,0
1216,Kukatpally,2,0
1538,Tellapur,3,0
1920,Miyapur,3,0
1190,Miyapur,2,0
2925,Serilingampally,4,0
1650,Serilingampally,3,0
2150,Kokapet,3,0
1695,Kukatpally,3,0
2700,Sangeet Nagar,2,0
1250,Karmanghat,2,0
1100,NRSA Colony,2,0
1003,Miyapur,2,0
1400,Adibatla,3,0
1400,Adibatla,3,0
5000,Manikonda,6,0
850,Methodist Colony,2,1
1800,Ameerpet,3,1
1235,Moula Ali,2,0
1515,Pragathi Nagar Kukatpally,2,0
750,BK Guda Internal Road,2,1
1155,Bachupally Road,2,0
900,West Marredpally,2,1
3300,Banjara Hills,4,1
1538,Tellapur,3,0
1195,Kondapur,2,1
1100,Pragathi Nagar Kukatpally,2,0
1650,Serilingampally,3,0
1650,Serilingampally,3,0
1214,Miyapur,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1175,Bachupally Road,2,0
1175,Bachupally Road,2,0
1028,ALIND Employees Colony,2,0
1350,Khizra Enclave,3,0
1050,Medchal,2,0
1300,LB Nagar,3,0
1500,Beeramguda,3,0
1400,Krishna Reddy Pet,3,0
1130,LB Nagar,2,0
1500,Dammaiguda,3,1
3000,Jubilee Hills,3,0
1650,Serilingampally,3,0
3498,Hitech City,4,0
1100,Padmarao Nagar,3,1
1200,Bachupally,2,0
1175,Bachupally Road,2,0
1620,Gajulramaram Kukatpally,3,0
1100,Pragathi Nagar Kukatpally,2,0
1205,Miyapur,2,0
1180,Nizampet,2,0
1591,Kukatpally,3,0
1441,Banjara Hills,2,1
1050,Gachibowli,2,0
1665,Gachibowli,3,0
1250,Gachibowli,2,0
1175,Bachupally Road,2,0
1256,Suchitra,2,0
1200,Bachupally,2,0
4320,Whitefields,4,0
1735,Kokapet,3,0
1150,Mayuri Nagar,2,1
1500,Sanath Nagar,3,0
1175,Bachupally Road,2,0
1507,Kokapet,3,0
1412,Tellapur,3,0
2160,Gandipet,3,0
1500,Appa Junction Peerancheru,3,1
1050,Dammaiguda,2,1
550,Moula Ali,1,0
1220,Kondapur,2,0
1010,Gajularamaram,2,0
1090,Kukatpally,2,0
1555,Gajularamaram,3,0
1885,Kondapur,3,0
1730,Kukatpally,3,0
1155,Bachupally Road,2,0
1650,Serilingampally,3,0
5000,Adda Gutta,3,1
600,Miyapur HMT Swarnapuri Colony,1,1
1600,Central Excise Colony Hyderabad,3,1
2800,Gachibowli,3,0
2405,Gachibowli,3,0
1000,Krishna Reddy Pet,2,0
1400,Beeramguda,3,0
1330,LB Nagar,3,0
1000,Miyapur,3,0
3350,Basheer Bagh,4,1
1630,Kondapur,3,0
1650,Serilingampally,3,0
3350,Banjara Hills,4,0
1250,Gopal Nagar,2,0
1055,Uppal Kalan,2,0
1190,Bachupaly Road Miyapur,2,0
550,ECIL Main Road,1,0
1076,Kushaiguda,2,0
933,Kushaiguda,2,0
1026,Kushaiguda,2,0
982,Kushaiguda,2,0
1792,Tellapur,3,0
3498,Hitech City,4,0
1155,Bachupally Road,2,0
2771,Bandlaguda Jagir,4,0
1480,Kokapet,3,0
2250,Ashok Nagar,3,1
700,Sanath Nagar,2,1
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1715,Barkatpura,3,1
1100,Manikonda,2,0
2380,Kondapur,3,0
1430,ECIL,3,0
1008,Beeramguda,2,0
1225,Nizampet,2,0
1175,Bachupally Road,3,0
1580,Hitech City,3,0
1170,Madinaguda,2,0
1055,Medchal,2,0
1216,Kukatpally,2,0
4799,Gachibowli,4,1
1780,Sanath Nagar,3,0
1515,Pragathi Nagar Kukatpally,3,0
4152,Gachibowli,5,1
2100,Bagh Amberpet,3,1
1155,Bachupally Road,2,0
1597,Tellapur,3,0
1200,BK Guda Internal Road,2,1
1000,Hitech City,1,0
1585,ECIL Main Road,3,0
3025,Banjara Hills,4,0
2166,Banjara Hills,3,1
1620,Gajularamaram,3,0
2612,Yapral,3,1
1620,Gajulramaram Kukatpally,3,0
1620,Gajulramaram Kukatpally,3,0
1170,Madinaguda,2,0
1680,Kokapet,3,0
1400,new nallakunta,2,1
1400,Gachibowli,3,0
1585,ECIL Cross Road,3,0
1620,Gajularamaram,3,0
1620,Gajularamaram,3,0
1620,Gajularamaram,3,0
1620,Gajularamaram,3,0
1232,BHEL,2,0
1470,Sun City,2,0
1555,Alwal,3,0
1175,Bachupally Road,2,0
1470,Hydershakote,2,0
1360,Kukatpally,2,0
1400,Nallakunta,3,1
1090,Nizampet,2,0
1170,Madinaguda,2,0
1441,Kukatpally,2,0
1735,Kokapet,3,0
3230,Nanakramguda,3,1
1271,Kokapet,2,0
750,BK Guda Road,2,1
1740,Kukatpally,3,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1220,Nallagandla Road,2,0
1320,Kondapur,2,0
3380,Kokapet,4,0
1482,Appa Junction Peerancheru,2,1
4395,Nanakramguda,4,0
1860,Nallagandla Gachibowli,3,0
1500,Kapra,3,0
1170,Madinaguda,2,0
2865,Madhapur,4,1
4152,Gachibowli,5,1
1270,Kokapet,2,0
1735,Kokapet,3,0
1735,Kokapet,3,0
1216,Kukatpally,2,0
1755,IDPL Colony,3,0
1665,Balanagar,3,0
1620,Gajulramaram Kukatpally,3,0
1130,Pragathi Nagar,2,0
1100,Kukatpally,2,0
1160,ECIL,2,1
1490,Kondapur,3,0
1300,Ramnagar Gundu,3,0
1280,Ramnagar Gundu,3,0
1000,Nallakunta,2,1
1515,Pragathi Nagar Kukatpally,3,0
1170,Madinaguda,2,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
2875,Attapur,4,1
2744,Padmarao Nagar,4,1
2192,Kondapur,3,0
550,Moula Ali,1,0
2595,Madhapur,4,1
1875,Shaikpet,3,1
1460,Narsingi,3,0
1680,Kokapet,3,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1650,Serilingampally,3,0
1515,Suchitra,3,0
1500,Alkapur township,5,0
1050,Kondapur,3,0
1600,Gachibowli,3,0
1511,Nallagandla Gachibowli,2,0
2141,Banjara Hills Road Number 12,3,1
1670,Narsingi,3,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1931,Kukatpally,3,0
1782,Kukatpally,3,0
1441,Kukatpally,2,0
1441,Kukatpally,2,0
1515,Suchitra,3,0
1165,ECIL Main Road,2,0
1740,Kukatpally,3,0
1360,Kukatpally,2,0
1110,Pragathi Nagar Kukatpally,2,0
1675,Chandanagar,3,1
1725,Gopanpally,3,0
1255,Nagole,2,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1505,Kondapur,3,1
1650,Serilingampally,3,0
1090,Kukatpally,2,0
1695,Kukatpally,3,0
1315,Kondapur,2,0
1885,Kondapur,3,0
1180,Gajularamaram,2,0
1555,Gajularamaram,3,0
1728,Gachibowli,3,1
1189,Panchavati Colony Manikonda,2,1
1100,Manikonda,2,0
1782,Kukatpally,3,0
1782,Kukatpally,3,0
1735,Kukatpally,3,0
2192,Kondapur,3,0
1075,Kompally,2,0
1265,Kompally,2,0
1782,Kukatpally,3,0
2700,Sun City,3,0
4829,Gachibowli,4,0
1279,Kukatpally,2,0
1216,Kukatpally,2,0
1441,Kukatpally,2,0
1200,Narsingi,2,0
1150,Bachupally,2,0
1475,Bachupally,3,0
1100,Kompally,2,0
1470,Chandanagar,3,0
1780,Serilingampally,3,0
2460,Manikonda,3,1
2540,Kokapet,3,1
1130,Nanakramguda,2,0
1495,Nanakramguda,3,0
1395,Nanakramguda,2,0
1275,Nanakramguda,2,0
1875,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4700,Jubilee Hills,4,0
4300,Jubilee Hills,4,0
1700,Tellapur,3,1
2630,Kokapet,4,0
1230,Bachupally,2,0
1000,Pragati Nagar,2,0
1150,Bachupally Road,2,0
1195,Nallakunta,3,0
1050,New Maruthi Nagar,2,1
1122,Tarnaka,2,0
1441,Kukatpally,2,0
1710,Kondapur,3,0
1600,Nanakramguda,3,0
2020,Kondapur,3,0
3190,Madhapur,4,1
1175,Bachupally Road,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1220,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1165,Kondapur,2,0
1775,Bandlaguda Jagir,3,0
1662,Gachibowli,3,0
1770,Nanakramguda,3,0
3493,Hitech City,4,0
1050,Kukatpally,2,1
1515,Suchitra,3,0
2815,Kondapur,3,0
2191,Kondapur,3,0
2813,Kondapur,3,0
1535,Kokapet,3,0
1535,Kokapet,3,0
1535,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
1050,Madhavaram Nagar Colony,2,0
4800,Jubilee Hills,4,0
2607,Kondapur,3,0
1535,Kokapet,3,0
1185,Gajulramaram Kukatpally,2,0
1730,Nanakramguda,3,1
3490,Madhapur,4,1
1834,Manikonda,3,1
2025,Miyapur Bachupally Road,4,1
1000,Pragathi Nagar Road,2,0
1580,Hitech City,3,0
2615,Gachibowli,3,0
2191,Kondapur,3,1
1190,nizampet road,2,0
4400,Kukatpally,4,1
1270,Nallagandla Gachibowli,2,0
2100,Kokapeta Village,3,1
1100,Kompally,2,0
8500,LB Nagar,6,0
900,Nallakunta,2,1
3448,Gachibowli,4,0
1865,Hitech City,3,1
1589,Alwal,3,0
2025,Somajiguda,3,1
2191,Kondapur,3,0
2270,Nanakramguda,3,0
1615,Kondapur,3,1
1745,Nanakramguda,3,0
960,Nanakramguda,2,1
1190,Bachupally,2,0
2615,Nanakramguda,3,0
2815,Kondapur,3,0
2800,Kondapur,3,0
2600,Kondapur,3,0
2452,Kondapur,3,0
2815,Kondapur,3,0
1604,Madinaguda,3,0
1050,HMT Hills,2,1
1620,Gajularamaram,3,0
2540,Kokapet,3,0
2160,Hitech City,3,1
1630,Toli Chowki,3,0
1050,Tilak Nagar,2,1
1150,Hitech City,2,0
2265,Hitech City,3,1
1035,Chititra Medchal,2,1
1500,Madhapur,3,1
1688,Somajiguda,3,1
1100,Pragathi Nagar,2,0
1875,Kokapet,3,0
1050,BK Guda Road,2,1
1800,Appa Junction Peerancheru,3,1
2625,Madhapur,3,1
3448,Gachibowli,4,0
2385,Shaikpet,3,1
1800,Nanakramguda,3,1
2607,Kondapur,3,1
3240,Madhapur,4,1
2865,Madhapur,4,1
1125,Pragathi Nagar Kukatpally,2,0
2050,Serilingampally,3,0
3300,Banjara Hills,4,0
1300,muthangi,3,0
1240,Madinaguda,2,0
1665,Nallagandla Gachibowli,3,0
1265,Nallagandla Gachibowli,2,0
2644,Nanakramguda,3,0
1000,Beeramguda,2,0
1550,Central Excise Colony Hyderabad,3,1
4500,Miyapur,5,1
1640,Madinaguda,3,0
3450,Somajiguda,4,1
1150,Madhapur,2,0
1150,Beeramguda,2,0
1770,Kondapur,3,0
1960,Himayat Nagar,3,1
980,Bowenpally,2,1
1195,Kondapur,2,0
1200,Ashok Nagar,2,0
1590,Ashok Nagar,3,0
2220,Nanakramguda,3,1
1592,Kukatpally,3,0
1380,Barkatpura,3,1
4375,Madhapur,5,1
1640,Madinaguda,3,0
1240,Madinaguda,2,0
1300,Isnapur,3,0
1240,Madinaguda,2,0
1160,Nacharam,2,0
1695,Kukatpally,3,0
1090,Kukatpally,2,0
1275,Gachibowli,2,1
1350,Kokapet,2,1
1250,D D Colony,3,1
2500,DD Colony,3,1
3258,Nanakramguda,4,1
1165,Miyapur,2,0
1250,Ramnagar Gundu,3,1
1300,Patancheru Shankarpalli Road,3,0
950,Patancheru,2,0
1100,BHEL,3,0
1007,Jhangir Pet,2,0
1640,Gajulramaram Kukatpally,3,0
2925,Serilingampally,4,0
1710,Kondapur,3,1
2664,Nanakramguda,3,0
2000,Nanakramguda,3,0
1150,Almasguda,2,0
1150,Pragathi Nagar,2,0
1145,Ashok Nagar,2,0
1900,Kondapur,3,1
1580,Hitech City,3,1
2192,Kondapur,3,0
2595,Hitech City,3,1
960,Himayat Nagar,2,1
1665,Madinaguda,3,0
950,Patancheru,2,0
1735,Kukatpally,3,0
1360,Kukatpally,2,0
1208,Kukatpally,2,0
1740,Kukatpally,3,0
1200,Bachupally,2,0
1240,Bachupally,2,0
